TimeCreated,Channel,Level,EventId,ProviderName,Message
2026-03-30 21:34:45,System,Warning,10016,Microsoft-Windows-DistributedCOM,The application-specific permission settings do not grant Local Launch permission for the COM Server application with CLSID  Windows.SecurityCenter.WscCloudBackupProvider  and APPID  Unavailable  to the user DESKTOP-KN\Owner SID (S-1-5-21-1775440496-1244785614-1751367727-1001) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool.
2026-03-30 21:34:42,System,Warning,10016,Microsoft-Windows-DistributedCOM,The application-specific permission settings do not grant Local Launch permission for the COM Server application with CLSID  Windows.SecurityCenter.WscCloudBackupProvider  and APPID  Unavailable  to the user DESKTOP-KN\Owner SID (S-1-5-21-1775440496-1244785614-1751367727-1001) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool.
2026-03-30 21:34:40,System,Warning,10016,Microsoft-Windows-DistributedCOM,The application-specific permission settings do not grant Local Activation permission for the COM Server application with CLSID  {2593F8B9-4EAF-457C-B68A-50F6B8EA6B54}  and APPID  {15C20B67-12E7-4BB6-92BB-7AFF07997402}  to the user DESKTOP-KN\Owner SID (S-1-5-21-1775440496-1244785614-1751367727-1001) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool.
2026-03-30 21:34:36,System,Warning,10016,Microsoft-Windows-DistributedCOM,The application-specific permission settings do not grant Local Launch permission for the COM Server application with CLSID  Windows.SecurityCenter.WscCloudBackupProvider  and APPID  Unavailable  to the user DESKTOP-KN\Owner SID (S-1-5-21-1775440496-1244785614-1751367727-1001) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool.
2026-03-30 21:34:33,System,Information,7040,Service Control Manager,The start type of the Background Intelligent Transfer Service service was changed from demand start to auto start.
2026-03-30 21:34:29,System,Information,7045,Service Control Manager,A service was installed in the system.  Service Name:  NTIOLib_CC_COMM Service File Name:  C:\Program Files (x86)\MSI\One Dragon Center\Lib\SYS\NTIOLib_X64.sys Service Type:  kernel mode driver Service Start Type:  demand start Service Account:  
2026-03-30 21:34:28,System,Information,7045,Service Control Manager,A service was installed in the system.  Service Name:  NTIOLib_MysticLight Service File Name:  C:\Program Files (x86)\MSI\One Dragon Center\Mystic_Light\Lib\\NTIOLib_X64.sys Service Type:  kernel mode driver Service Start Type:  demand start Service Account:  
2026-03-30 21:34:24,System,Warning,10016,Microsoft-Windows-DistributedCOM,The application-specific permission settings do not grant Local Activation permission for the COM Server application with CLSID  {2593F8B9-4EAF-457C-B68A-50F6B8EA6B54}  and APPID  {15C20B67-12E7-4BB6-92BB-7AFF07997402}  to the user DESKTOP-KN\Owner SID (S-1-5-21-1775440496-1244785614-1751367727-1001) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool.
2026-03-30 21:34:22,Application,Information,0,Service1,Service started successfully.
2026-03-30 21:34:21,System,Information,1,Microsoft-Windows-Configuration-Change-Monitor,
2026-03-30 21:34:21,System,Information,1,Microsoft-Windows-Configuration-Change-Monitor,
2026-03-30 21:34:21,System,Information,1,Microsoft-Windows-Configuration-Change-Monitor,
2026-03-30 21:34:21,Application,Information,1003,Microsoft-Windows-Search,The Windows Search Service started. 
2026-03-30 21:34:19,System,Warning,10016,Microsoft-Windows-DistributedCOM,The application-specific permission settings do not grant Local Activation permission for the COM Server application with CLSID  {6B3B8D23-FA8D-40B9-8DBD-B950333E2C52}  and APPID  {4839DDB7-58C2-48F5-8283-E1D1807D0D7D}  to the user NT AUTHORITY\LOCAL SERVICE SID (S-1-5-19) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool.
